1.04.01;Polygon;-731131.1900000013,-1021297.5199999996|-731105.0500000007,-1021279.4400000013|-731110.8200000003,-1021315.1999999993|-731063.3299999982,-1021556.8599999994|-730928.7399999984,-1021727.5899999999|-731214.8099999987,-1021912.75|-731364.6600000001,-1021804.8299999982|-731327.2899999991,-1021644.3299999982|-731159.8399999999,-1021729.120000001|-731095.629999999,-1021561.4800000004|-731131.1900000013,-1021297.5199999996|*&
1.04.01;Polygon;-731975.5599999987,-1020009.25|-731959.2399999984,-1020056.5899999999|-731845.3599999994,-1020288.1700000018|-731737.2699999996,-1020398.4699999988|-731645.7199999988,-1020419.8500000015|-731572.9600000009,-1020563.4299999997|-731581.0500000007,-1020629.7100000009|-731535.2899999991,-1020727.3599999994|-731656.9600000009,-1020708.6999999993|-731760.4899999984,-1020868.9699999988|-731805.9899999984,-1021029.2399999984|-731941.7199999988,-1020890.4400000013|-731933.2800000012,-1020797.9100000001|-731775.5700000003,-1020657.5799999982|-731788.1400000006,-1020444.9100000001|-731934.9200000018,-1020230.120000001|-732041.9600000009,-1019923.4299999997|-732005.6900000013,-1019899.8000000007|-731996.3599999994,-1019909.5300000012|-731975.5599999987,-1020009.25|*&
1.04.01;Polygon;-732265.5300000012,-1020107.9400000013|-732368.9200000018,-1020210.2199999988|-732519.3000000007,-1020117.8900000006|-732526.7300000004,-1019966.25|-732265.5300000012,-1020107.9400000013|*&
1.05.11;Polygon;-730854.4200000018,-1021684.2399999984|-730919.8299999982,-1021721.6799999997|-730928.7399999984,-1021727.5899999999|-731063.3299999982,-1021556.8599999994|-731110.8200000003,-1021315.1999999993|-731059.870000001,-1021399.2199999988|-731040.2600000016,-1021427.6700000018|-730925.120000001,-1021568.0599999987|-730854.4200000018,-1021684.2399999984|*&
1.08.40;Polygon;-731059.870000001,-1021399.2199999988|-731110.8200000003,-1021315.1999999993|-731105.0500000007,-1021279.4400000013|-731078.8999999985,-1021277.5199999996|-731059.870000001,-1021399.2199999988|*&
1.19.01;Polygon;-729718.620000001,-1022380.0599999987|-729563.0599999987,-1022360.5599999987|-729431.25,-1022418.620000001|-728953.0599999987,-1022466.120000001|-728748.8099999987,-1022444.0599999987|-729140,-1022531.370000001|-729826.6900000013,-1022537.3099999987|-730239.370000001,-1022482.870000001|-730340.25,-1022286.6799999997|-729991.1900000013,-1022436|-729718.620000001,-1022380.0599999987|*&
1.19.01;Polygon;-729203.9600000009,-1021681.6999999993|-729337.120000001,-1021493.3099999987|-729221.4400000013,-1021467.870000001|-729067.120000001,-1021559|-729071.370000001,-1021668.370000001|-729203.9600000009,-1021681.6999999993|*&
1.19.01;Polygon;-730786.5500000007,-1019154|-730792.9299999997,-1019259.129999999|-731063.7699999996,-1019545.9899999984|-730644.7600000016,-1019510.0599999987|-730680.7199999988,-1019688.8200000003|-730610.4499999993,-1019919.120000001|-730489.8200000003,-1019805.2399999984|-730402.1700000018,-1019975|-730403.75,-1020171.1900000013|-730363.129999999,-1020325.8099999987|-730292.379999999,-1020395.75|-729898.75,-1020419.5599999987|-729651.25,-1020562.9299999997|-729607.5599999987,-1020624.8099999987|-729492.25,-1020789.6799999997|-729731.75,-1020764.6799999997|-729879.25,-1020641.75|-730222.879999999,-1020577.5|-730330.0599999987,-1020583.4400000013|-730416.9400000013,-1020737.25|-730252.120000001,-1020958.8099999987|-730271.5599999987,-1020744.870000001|-730187.6900000013,-1020694|-730000,-1020735.25|-729836.0599999987,-1020899.0599999987|-729742.75,-1021055.0599999987|-729800.4400000013,-1021227.120000001|-729628.75,-1021315.3099999987|-729383.3099999987,-1021519.1799999997|-729403.6900000013,-1021577.6799999997|-729578.3099999987,-1021563.25|-729886.0599999987,-1021782.8099999987|-729973.8099999987,-1021884.5|-729897.5,-1021972.8099999987|-729778.8099999987,-1021962.5599999987|-729636.8099999987,-1021879.0599999987|-729533.370000001,-1021759.5|-729398.5599999987,-1021734.0599999987|-729090.870000001,-1021814.620000001|-728956.9400000013,-1021991.8099999987|-728742.870000001,-1022143.120000001|-728946.75,-1022227.870000001|-728958.1900000013,-1022220.6799999997|-729182.4400000013,-1022120.6799999997|-729602.5,-1022082.5|-729904.6900000013,-1022122.75|-729960.620000001,-1022159.0599999987|-730221.5599999987,-1022042.1799999997|-730360.5599999987,-1022007.4299999997|-730540.620000001,-1021829.0599999987|-730646.120000001,-1021630.8099999987|-730850.5100000016,-1021320.9699999988|-731102.7399999984,-1021146.8000000007|-731114.7699999996,-1021101.8599999994|-731048.0500000007,-1021097.8399999999|-730948.5,-1021040.5599999987|-731086.75,-1020900.75|-731146.9400000013,-1020720.25|-731097.8099999987,-1020499.5599999987|-731325.75,-1020582.5599999987|-731435.5,-1020492.3099999987|-731402.870000001,-1020363.120000001|-731536.5399999991,-1020385.1400000006|-731582.6700000018,-1020360.2100000009|-731724.5899999999,-1020280.2600000016|-731873.9400000013,-1020112.0799999982|-731909.6000000015,-1020007.3000000007|-731921.7800000012,-1020000|-731937.0399999991,-1019977.4100000001|-731996.3599999994,-1019909.5300000012|-732005.6900000013,-1019899.8000000007|-731993.8999999985,-1019748.0899999999|-732101,-1019576.2100000009|-732161.5399999991,-1019394.6000000015|-732068.3999999985,-1019349.7300000004|-731922.7800000012,-1019510.1700000018|-731678.5100000016,-1019621.5100000016|-731579.4499999993,-1019566.0599999987|-731585.8000000007,-1019447.1000000015|-731404.620000001,-1019515.6799999997|-731294.9499999993,-1019466.2399999984|-730955.3900000006,-1019404.7199999988|-730800.2800000012,-1019254.0500000007|-730807.2199999988,-1019137.5899999999|-730786.5500000007,-1019154|*-731949.620000001,-1019527.5399999991|-731988.370000001,-1019522|-731949.620000001,-1019563.9200000018|-731949.620000001,-1019527.5399999991|*-731016.4400000013,-1020485.5599999987|-731010.0599999987,-1020534.6900000013|-730782.129999999,-1020768.5599999987|-730635.120000001,-1020964.3099999987|-730520.75,-1020945.6799999997|-730633,-1020777.0599999987|-730688.9400000013,-1020632.5599999987|-730801.1900000013,-1020515.1900000013|-730929.5599999987,-1020455.5|-731016.4400000013,-1020485.5599999987|*&
1.19.04;Polygon;-731048.0500000007,-1021097.8399999999|-731114.7699999996,-1021101.8599999994|-731123.4400000013,-1021074.0199999996|-731093.8999999985,-1020973.5100000016|-730976.5599999987,-1021027.1099999994|-731048.0500000007,-1021097.8399999999|*&
1.19.11;Polygon;-725754.9600000009,-1026004.3900000006|-725762.1099999994,-1025768.6900000013|-726191.3200000003,-1025473.4600000009|-725680.2800000012,-1025785.0399999991|-725754.9600000009,-1026004.3900000006|*&
