,Light,Temperature,Humidity,Pressure,Altitude,SoilHum,Hour,Minute,Second,Day,Month,Year
1,0.00,nan,nan,nan,nan,655.00,11,1,3,26,6,2020
2,0.00,nan,nan,nan,nan,648.00,11,2,3,26,6,2020
