3.01.00;Polygon;-554013.4899999984,-1139459.0700000003|-554032.629999999,-1139478.4899999984|-554023.3000000007,-1139453.2600000016|-554013.4899999984,-1139459.0700000003|*&
3.01.00;Polygon;-554033.4499999993,-1139465.5|-554139.3000000007,-1139576.75|-554204.9200000018,-1139496.1799999997|-554165.3099999987,-1139484.6600000001|-554120.4899999984,-1139520.0599999987|-554034.0300000012,-1139444.6400000006|-554033.4499999993,-1139465.5|*-554050.1000000015,-1139474.6499999985|-554041.8599999994,-1139472.8200000003|-554042.4600000009,-1139468.2399999984|-554050.6600000001,-1139468.2399999984|-554050.1000000015,-1139474.6499999985|*-554054.2199999988,-1139474.8000000007|-554059.6400000006,-1139480.2199999988|-554056.370000001,-1139484.4800000004|-554049.6799999997,-1139479.3399999999|-554054.2199999988,-1139474.8000000007|*-554090.0300000012,-1139498.5599999987|-554100.7100000009,-1139508.1400000006|-554095.5500000007,-1139514.3000000007|-554084.5700000003,-1139504.6600000001|-554090.0300000012,-1139498.5599999987|*-554100.620000001,-1139512.1000000015|-554104.9400000013,-1139517.7199999988|-554100.2600000016,-1139520.4200000018|-554097.0399999991,-1139517.7199999988|-554100.620000001,-1139512.1000000015|*-554098.8099999987,-1139520.4699999988|-554099.3200000003,-1139524.3200000003|-554093.9299999997,-1139526.8299999982|-554093.9299999997,-1139518.9299999997|-554098.8099999987,-1139520.4699999988|*&
3.01.00;Polygon;-554296.7100000009,-1139412.9899999984|-554248.5700000003,-1139477.7199999988|-554241.4899999984,-1139472.370000001|-554153.4899999984,-1139594.210000001|-554268.2600000016,-1139457.1999999993|-554296.7100000009,-1139412.9899999984|*&
3.01.00;Polygon;-554244.3900000006,-1139149.0199999996|-554325.0899999999,-1139246.6400000006|-554192.0799999982,-1139425.2199999988|-554234.5,-1139458.870000001|-554358.370000001,-1139270.8200000003|-554244.3900000006,-1139149.0199999996|*&
3.01.00;Polygon;-554886.8599999994,-1139333.210000001|-554756.5100000016,-1139276.6400000006|-554741.7199999988,-1139136.6499999985|-554558.3299999982,-1139162.9899999984|-554396.129999999,-1139318.1900000013|-555180.7699999996,-1139880.3599999994|-555201.1999999993,-1139849.9100000001|-554886.8599999994,-1139333.210000001|*&
3.01.00;Polygon;-555656.9699999988,-1139455.210000001|-555755.4499999993,-1139588.8299999982|-555904.7600000016,-1139650.5500000007|-556076.8099999987,-1139657.0199999996|-555826.7699999996,-1139543.3599999994|-555905.1799999997,-1139441.6000000015|-556163.5300000012,-1139527.8599999994|-556164.3200000003,-1139393.0899999999|-556108.7800000012,-1139130.1799999997|-556018.8299999982,-1139134.5799999982|-555589.9200000018,-1139277.5500000007|-555656.9699999988,-1139455.210000001|*&
3.01.00;Polygon;-555027.3299999982,-1139091.6900000013|-555043.7699999996,-1139095.4899999984|-555042.4200000018,-1139089.4499999993|-555027.3299999982,-1139091.6900000013|*&
3.01.00;Polygon;-554175.1499999985,-1139161.3599999994|-554240.6400000006,-1139145.4299999997|-554152.1999999993,-1139067.2199999988|-554175.1499999985,-1139161.3599999994|*&
3.01.00;Polygon;-554266.0599999987,-1138968.870000001|-554193.4800000004,-1139077.5|-554288.629999999,-1139134.1099999994|-554371.5300000012,-1139037|-554266.0599999987,-1138968.870000001|*&
3.01.00;Polygon;-555427.5399999991,-1138967.3999999985|-555389.5799999982,-1138941.210000001|-555410.8599999994,-1138972.870000001|-555427.5399999991,-1138967.3999999985|*&
3.01.00;Polygon;-554500.5799999982,-1139148.5899999999|-554505.1999999993,-1139152.129999999|-554660.5500000007,-1138941.5100000016|-554599.6799999997,-1139017.039999999|-554500.5799999982,-1139148.5899999999|*&
3.01.00;Polygon;-554471.8999999985,-1138960.3000000007|-554299.0500000007,-1139190.4899999984|-554389.2899999991,-1139249.6900000013|-554556.6900000013,-1138981.0500000007|-554471.8999999985,-1138960.3000000007|*&
3.01.00;Polygon;-554121.4299999997,-1139055.3900000006|-554123.2600000016,-1139056.75|-554172.5100000016,-1139048.7300000004|-554229.0700000003,-1138963.6400000006|-554192.870000001,-1138964.9699999988|-554121.4299999997,-1139055.3900000006|*&
3.01.00;Polygon;-554172.8900000006,-1138888|-554166.9899999984,-1138910.620000001|-554214.1700000018,-1138940.0700000003|-554220.4499999993,-1138894.9899999984|-554172.8900000006,-1138888|*&
3.01.00;Polygon;-554571.1000000015,-1138936.5100000016|-554648.7600000016,-1138895.370000001|-554637.7100000009,-1138842.129999999|-554551.5599999987,-1138892.9699999988|-554571.1000000015,-1138936.5100000016|*&
3.01.00;Polygon;-554881.6999999993,-1138871.3200000003|-554897.0199999996,-1138840.879999999|-554885.4100000001,-1138856.7399999984|-554881.6999999993,-1138871.3200000003|*&
3.01.00;Polygon;-554710.9499999993,-1138884.4299999997|-554710.8500000015,-1138928.9699999988|-554761.9800000004,-1138811.75|-554710.9499999993,-1138884.4299999997|*&
3.01.00;Polygon;-554194.8999999985,-1138784.4100000001|-554226.379999999,-1138834.6400000006|-554262,-1138800.3500000015|-554211.6099999994,-1138761.5599999987|-554194.8999999985,-1138784.4100000001|*&
3.01.00;Polygon;-554907.7800000012,-1138828.4200000018|-554880.4499999993,-1138882.7699999996|-554885.629999999,-1139060.1000000015|-555016.3900000006,-1139089.1799999997|-555150.9899999984,-1139053.870000001|-555203.1099999994,-1138960.0300000012|-555076.4600000009,-1138807.5199999996|-554983.4400000013,-1138748.5799999982|-554907.7800000012,-1138828.4200000018|*&
